Voltage,Current,Temperature,Elapsed Time,Cycle,Capacity,WhAccu,Remaining Charging Time,Source_File,Charging_Session
3.01141,0.15069,-0.63095,0.0,0.0,,,65721.0,585_C20DisCh.csv,4
3.03281,0.14814,-0.52579,60.0,0.0,,,65661.0,585_C20DisCh.csv,4
3.05169,0.14814,-0.52579,120.0,0.0,,,65601.0,585_C20DisCh.csv,4
3.06872,0.14814,-0.52579,180.0,0.0,,,65541.0,585_C20DisCh.csv,4
3.08456,0.14814,-0.52579,240.0,0.0,,,65481.0,585_C20DisCh.csv,4
3.09906,0.14814,-0.52579,300.0,0.0,,,65421.0,585_C20DisCh.csv,4
3.11288,0.14814,-0.52579,360.0,0.0,,,65361.0,585_C20DisCh.csv,4
3.12569,0.14814,-0.52579,420.0,0.0,,,65301.0,585_C20DisCh.csv,4
3.138,0.14814,-0.52579,480.0,0.0,,,65241.0,585_C20DisCh.csv,4
3.1498,0.14814,-0.63095,540.0,0.0,,,65181.0,585_C20DisCh.csv,4
3.16075,0.14814,-0.52579,600.0,0.0,,,65121.0,585_C20DisCh.csv,4
3.17154,0.14814,-0.52579,660.0,0.0,,,65061.0,585_C20DisCh.csv,4
3.18166,0.14814,-0.52579,720.0,0.0,,,65001.0,585_C20DisCh.csv,4
3.19143,0.15069,-0.52579,780.0,0.0,,,64941.0,585_C20DisCh.csv,4
3.20087,0.14814,-0.52579,840.0,0.0,,,64881.0,585_C20DisCh.csv,4
3.20981,0.14814,-0.63095,900.0,0.0,,,64821.0,585_C20DisCh.csv,4
3.21874,0.14814,-0.63095,960.0,0.0,,,64761.0,585_C20DisCh.csv,4
3.22717,0.14814,-0.42063,1020.0,0.0,,,64701.0,585_C20DisCh.csv,4
3.23526,0.14814,-0.52579,1080.0,0.0,,,64641.0,585_C20DisCh.csv,4
3.24318,0.14814,-0.52579,1140.0,0.0,,,64581.0,585_C20DisCh.csv,4
3.25094,0.14814,-0.42063,1200.0,0.0,,,64521.0,585_C20DisCh.csv,4
3.25835,0.14814,-0.42063,1260.0,0.0,,,64461.0,585_C20DisCh.csv,4
3.26543,0.14814,-0.52579,1320.0,0.0,,,64401.0,585_C20DisCh.csv,4
3.27251,0.14814,-0.63095,1380.0,0.0,,,64341.0,585_C20DisCh.csv,4
3.27942,0.14814,-0.63095,1440.0,0.0,,,64281.0,585_C20DisCh.csv,4
3.286,0.14814,-0.52579,1500.0,0.0,,,64221.0,585_C20DisCh.csv,4
3.2924,0.14814,-0.42063,1560.0,0.0,,,64161.0,585_C20DisCh.csv,4
3.29864,0.14814,-0.42063,1620.0,0.0,,,64101.0,585_C20DisCh.csv,4
3.30454,0.14814,-0.52579,1680.0,0.0,,,64041.0,585_C20DisCh.csv,4
3.31044,0.14814,-0.63095,1740.0,0.0,,,63981.0,585_C20DisCh.csv,4
3.31617,0.15069,-0.52579,1800.0,0.0,,,63921.0,585_C20DisCh.csv,4
3.32173,0.14814,-0.52579,1860.0,0.0,,,63861.0,585_C20DisCh.csv,4
3.32713,0.14814,-0.63095,1920.0,0.0,,,63801.0,585_C20DisCh.csv,4
3.33235,0.14814,-0.52579,1980.0,0.0,,,63741.0,585_C20DisCh.csv,4
3.33758,0.14814,-0.42063,2040.0,0.0,,,63681.0,585_C20DisCh.csv,4
3.34247,0.14814,-0.52579,2100.0,0.0,,,63621.0,585_C20DisCh.csv,4
3.34735,0.14814,-0.63095,2160.0,0.0,,,63561.0,585_C20DisCh.csv,4
3.35191,0.14814,-0.63095,2220.0,0.0,,,63501.0,585_C20DisCh.csv,4
3.35663,0.15069,-0.63095,2280.0,0.0,,,63441.0,585_C20DisCh.csv,4
3.36101,0.14814,-0.63095,2340.0,0.0,,,63381.0,585_C20DisCh.csv,4
3.36522,0.14814,-0.52579,2400.0,0.0,,,63321.0,585_C20DisCh.csv,4
3.36927,0.15069,-0.52579,2460.0,0.0,,,63261.0,585_C20DisCh.csv,4
3.37331,0.14814,-0.52579,2520.0,0.0,,,63201.0,585_C20DisCh.csv,4
3.37702,0.15069,-0.42063,2580.0,0.0,,,63141.0,585_C20DisCh.csv,4
3.38056,0.14814,-0.52579,2640.0,0.0,,,63081.0,585_C20DisCh.csv,4
3.3841,0.14814,-0.52579,2700.0,0.0,,,63021.0,585_C20DisCh.csv,4
3.3873,0.14814,-0.52579,2760.0,0.0,,,62961.0,585_C20DisCh.csv,4
3.39051,0.14814,-0.52579,2820.0,0.0,,,62901.0,585_C20DisCh.csv,4
3.39337,0.14814,-0.42063,2880.0,0.0,,,62841.0,585_C20DisCh.csv,4
3.39624,0.14814,-0.52579,2940.0,0.0,,,62781.0,585_C20DisCh.csv,4
3.39877,0.14814,-0.52579,3000.0,0.0,,,62721.0,585_C20DisCh.csv,4
3.4013,0.14814,-0.52579,3060.0,0.0,,,62661.0,585_C20DisCh.csv,4
3.40365,0.14814,-0.63095,3120.0,0.0,,,62601.0,585_C20DisCh.csv,4
3.40601,0.14814,-0.52579,3180.0,0.0,,,62541.0,585_C20DisCh.csv,4
3.40821,0.15069,-0.52579,3240.0,0.0,,,62481.0,585_C20DisCh.csv,4
3.41023,0.14814,-0.42063,3300.0,0.0,,,62421.0,585_C20DisCh.csv,4
3.41225,0.14814,-0.52579,3360.0,0.0,,,62361.0,585_C20DisCh.csv,4
3.41427,0.14814,-0.52579,3420.0,0.0,,,62301.0,585_C20DisCh.csv,4
3.4163,0.14814,-0.52579,3480.0,0.0,,,62241.0,585_C20DisCh.csv,4
3.41832,0.14814,-0.52579,3540.0,0.0,,,62181.0,585_C20DisCh.csv,4
3.42034,0.14814,-0.52579,3600.0,0.0,,,62121.0,585_C20DisCh.csv,4
3.42237,0.14814,-0.52579,3660.0,0.0,,,62061.0,585_C20DisCh.csv,4
3.42422,0.14814,-0.52579,3720.0,0.0,,,62001.0,585_C20DisCh.csv,4
3.42624,0.14814,-0.52579,3780.0,0.0,,,61941.0,585_C20DisCh.csv,4
3.42827,0.14814,-0.52579,3840.0,0.0,,,61881.0,585_C20DisCh.csv,4
3.43012,0.15069,-0.42063,3900.0,0.0,,,61821.0,585_C20DisCh.csv,4
3.43197,0.14814,-0.42063,3960.0,0.0,,,61761.0,585_C20DisCh.csv,4
3.43383,0.15069,-0.52579,4020.0,0.0,,,61701.0,585_C20DisCh.csv,4
3.43585,0.14814,-0.52579,4080.0,0.0,,,61641.0,585_C20DisCh.csv,4
3.4377,0.14814,-0.52579,4140.0,0.0,,,61581.0,585_C20DisCh.csv,4
3.43973,0.14814,-0.73611,4200.0,0.0,,,61521.0,585_C20DisCh.csv,4
3.44158,0.14814,-0.63095,4260.0,0.0,,,61461.0,585_C20DisCh.csv,4
3.44344,0.14814,-0.63095,4320.0,0.0,,,61401.0,585_C20DisCh.csv,4
3.44512,0.15069,-0.52579,4380.0,0.0,,,61341.0,585_C20DisCh.csv,4
3.44698,0.14814,-0.52579,4440.0,0.0,,,61281.0,585_C20DisCh.csv,4
3.44866,0.14814,-0.73611,4500.0,0.0,,,61221.0,585_C20DisCh.csv,4
3.45052,0.14814,-0.52579,4560.0,0.0,,,61161.0,585_C20DisCh.csv,4
3.4522,0.14814,-0.73611,4620.0,0.0,,,61101.0,585_C20DisCh.csv,4
3.45406,0.15069,-0.63095,4680.0,0.0,,,61041.0,585_C20DisCh.csv,4
3.45574,0.14814,-0.52579,4740.0,0.0,,,60981.0,585_C20DisCh.csv,4
3.45726,0.14814,-0.52579,4800.0,0.0,,,60921.0,585_C20DisCh.csv,4
3.45878,0.14814,-0.42063,4860.0,0.0,,,60861.0,585_C20DisCh.csv,4
3.46029,0.15069,-0.52579,4920.0,0.0,,,60801.0,585_C20DisCh.csv,4
3.46181,0.14814,-0.63095,4980.0,0.0,,,60741.0,585_C20DisCh.csv,4
3.46316,0.14814,-0.63095,5040.0,0.0,,,60681.0,585_C20DisCh.csv,4
3.46451,0.14814,-0.73611,5100.0,0.0,,,60621.0,585_C20DisCh.csv,4
3.46569,0.14814,-0.63095,5160.0,0.0,,,60561.0,585_C20DisCh.csv,4
3.46687,0.14814,-0.52579,5220.0,0.0,,,60501.0,585_C20DisCh.csv,4
3.46788,0.15069,-0.52579,5280.0,0.0,,,60441.0,585_C20DisCh.csv,4
3.46889,0.14814,-0.42063,5340.0,0.0,,,60381.0,585_C20DisCh.csv,4
3.46973,0.14814,-0.73611,5400.0,0.0,,,60321.0,585_C20DisCh.csv,4
3.47074,0.14814,-0.73611,5460.0,0.0,,,60261.0,585_C20DisCh.csv,4
3.47159,0.14814,-0.63095,5520.0,0.0,,,60201.0,585_C20DisCh.csv,4
3.47226,0.14814,-0.52579,5580.0,0.0,,,60141.0,585_C20DisCh.csv,4
3.4731,0.15069,-0.42063,5640.0,0.0,,,60081.0,585_C20DisCh.csv,4
3.47378,0.14814,-0.52579,5700.0,0.0,,,60021.0,585_C20DisCh.csv,4
3.47445,0.14814,-0.73611,5760.0,0.0,,,59961.0,585_C20DisCh.csv,4
3.47529,0.14814,-0.73611,5820.0,0.0,,,59901.0,585_C20DisCh.csv,4
3.47597,0.14814,-0.63095,5880.0,0.0,,,59841.0,585_C20DisCh.csv,4
3.47664,0.14814,-0.52579,5940.0,0.0,,,59781.0,585_C20DisCh.csv,4
3.47732,0.14814,-0.42063,6000.0,0.0,,,59721.0,585_C20DisCh.csv,4
3.47799,0.14814,-0.42063,6060.0,0.0,,,59661.0,585_C20DisCh.csv,4
3.47867,0.14814,-0.42063,6120.0,0.0,,,59601.0,585_C20DisCh.csv,4
3.47934,0.14814,-0.73611,6180.0,0.0,,,59541.0,585_C20DisCh.csv,4
3.48001,0.14814,-0.63095,6240.0,0.0,,,59481.0,585_C20DisCh.csv,4
3.48069,0.14814,-0.63095,6300.0,0.0,,,59421.0,585_C20DisCh.csv,4
3.48119,0.14814,-0.42063,6360.0,0.0,,,59361.0,585_C20DisCh.csv,4
3.48187,0.14814,-0.21032,6420.0,0.0,,,59301.0,585_C20DisCh.csv,4
3.48237,0.15069,-0.42063,6480.0,0.0,,,59241.0,585_C20DisCh.csv,4
3.48322,0.15069,-0.94643,6540.0,0.0,,,59181.0,585_C20DisCh.csv,4
3.48389,0.14814,-0.84127,6600.0,0.0,,,59121.0,585_C20DisCh.csv,4
3.48457,0.15069,-0.63095,6660.0,0.0,,,59061.0,585_C20DisCh.csv,4
3.48524,0.14814,-0.52579,6720.0,0.0,,,59001.0,585_C20DisCh.csv,4
3.48575,0.14814,-0.31548,6780.0,0.0,,,58941.0,585_C20DisCh.csv,4
3.48625,0.14814,-0.10516,6840.0,0.0,,,58881.0,585_C20DisCh.csv,4
3.48693,0.14814,-0.42063,6900.0,0.0,,,58821.0,585_C20DisCh.csv,4
3.4876,0.14814,-1.15674,6960.0,0.0,,,58761.0,585_C20DisCh.csv,4
