feature,VIF
voltage_v,1000799917193443.5
current_a,1000799917193443.5
cell_temp_c,1000799917193443.5
c_rate,1000799917193443.5
voltage_lag1,1000799917193443.5
temp_rise_c,1000799917193443.5
voltage_delta1,1000799917193443.5
current_lag1,1000799917193443.5
current_delta1,1000799917193443.5
current_temp_interaction,2856.860588156326
voltage_roll_mean5,871.8584424905574
power_w,186.54394700435756
ambient_temp_c,95.25687648667754
current_roll_mean5,20.841917973715006
current_roll_std5,3.2088185979699038
voltage_roll_std5,3.0451195466011294
