max_depth,min_samples_leaf,n_estimators,val_MAE
8,4,300,1.243065421100419
8,4,450,1.2443225398130304
8,1,450,1.2473761164375865
8,2,450,1.2487591634313138
8,2,300,1.2489255915694064
8,4,150,1.249119979316706
8,1,300,1.2493220234423454
8,2,150,1.2553104150783831
8,1,150,1.258049146659785
12,4,450,1.458613783399593
12,4,150,1.4651812929288595
16,4,450,1.4660777172689765
12,4,300,1.4672089467211837
16,4,150,1.4710852811414328
16,4,300,1.473059326386286
12,2,450,1.5584213346764701
12,2,300,1.5628240284070058
12,2,150,1.5689467289775603
12,1,300,1.5771519419854783
12,1,450,1.5806979226529583
12,1,150,1.5987126166485925
16,2,450,1.6014863475516672
16,2,300,1.6048641578179252
16,2,150,1.6116112235797937
16,1,450,1.6594007064157756
16,1,150,1.661124613467681
16,1,300,1.6693888633475364
